ID,キーワード,エリア,デバイス,広告タイトル,URL,文章,検索回数
65,MEO,大阪,mac_chrome,【MEO対策】で新規来店数激増 - 成果が出るまで費用０円,https://gleaner-meo.com/,"【MEO対策】で、マップに表示！人気店になる集客方法／完全成果報酬型で契約期間なし。マップ表示でスマホユーザーの来店率急上昇！初期費用なしでエリアNO.1の集客力を。サービス: WEB集客, MEO対策, 新規集客。",1
66,MEO,大阪,mac_chrome,MEO対策で商圏一人勝ちの決定版 - 2ヶ月間 完全無料...,https://www.cooboo.co.jp/special/meo/,"業界最安の成果報酬！700円/日割と初期0円で豊富な料金体系。選ばれ続けてサービス開始9年目。 まずはMEOの費用対効果をトライアル！ 日割成果700円と月額プラン・期間限定キャンペーン開催・累積実績3,500店舗超・9年目の信頼と実績。",1
67,MEO,大阪,mac_firefox,効果的なMEO対策・ローカルSEO - GMB・マップと...,https://www.yext.co.jp/meo-listings/,世界150以上の検索エンジンやマップ、SNSと連携し、企業の正しい情報発信を可能にする。 イエクストの検索クラウドサービスで店舗集客を強化。GMB連携で情報更新が簡単！ 音声検索の最適化・VSO・口コミ一元管理・構造化データの実装・MEO対策。,1
68,MEO,大阪,iphonex_safari,【MEO】コスパ最強の集客法 - 上位表示化率87％超,https://www.dia-neo.com/meo/lp/,"プロによる店舗撮影・記事投稿代行など、サービスが手厚い！口コミが増える秘訣もアドバイス。 店舗の集客に圧倒的効果を発揮、今すぐ客を取り込める！始めるなら競合の少ない今がチャンス。 追加料金一切なし・プロの店舗写真撮影付き・口コミ評価もアップ・取り扱い案件数800社以上・上位表示化率87%超・即日対応・来店数が最大10倍に・12キーワード対策可能・キーワード診断無料・サービス: Googleマップ上位表示, MEO対策, 成果報酬, 上位3位以内, 写真撮影, 記事投稿。",1
69,MEO,大阪,mac_firefox,【MEO】コスパ最強の集客法 - 費用対効果に特化したMEO対策,https://www.dia-neo.com/meo/lp/,プロによる店舗撮影・記事投稿代行など、サービスが手厚い！口コミが増える秘訣もアドバイス。,1
70,MEO,大阪,iphonex_safari,MEO対策で商圏一人勝ちの決定版 - 2ヶ月間 完全無料キャンペーン中 - 毎月先約20店舗の限定価格 - cooboo.co.jp,https://www.cooboo.co.jp/special/meo/,業界最安の成果報酬！700円/日割と初期0円で豊富な料金体系。選ばれ続けてサービス開始9年目。,1
71,MEO,大阪,mac_firefox,【歯科特化】新患増加のMEO対策 - 初心者でも安心。新患1.5倍...,https://umy-game.com/meoup/,黒飛先生推奨のMEO対策。医療従事者が対応するから運用が簡単。医療ガイドラインに掛かりにくい,1
72,MEO,大阪,iphonex_safari,MEOなら - MEOで集客強化しませんか？ - laden.jp,https://laden.jp/,"マップ上であなたのお店を”選ばれる”お店に。実店舗の集客はSNSで効率的に拡大。 検索結果一覧において、表示順位を上げるための施策を実施します。 データベース構築・競合の価格調査・テレアポリスト構築・見込み客リスト構築・SNS用の画像収集・企業リスト構築・検索順位の監視・スタイル: インターネット, ビックデータ, セールス。",1
73,MEO,大阪,mac_firefox,MEO対策はこれ一つで決まり - 上位表示の為の徹底対策ツール,https://freesquare.co.jp/map-lp/,MAP職人は【誰でもMEO対策を可能に】を実現したツールです。今なら2週間無料でお試し,1
74,MEO,大阪,mac_chrome,【MEO】コスパ最強の集客法 - 費用対効果に特化したMEO対策,https://www.dia-neo.com/meo/lp/,プロによる店舗撮影・記事投稿代行など、サービスが手厚い！口コミが増える秘訣もアドバイス。,1
75,MEO,大阪,mac_firefox,MEO対策の販売パートナー大募集 - 月ストック収益500万円超...,https://exkey.jp/meo/partner/,高粗利＆ストック収益で安定経営を実現！信頼性の高いサービスなので受注率が高いサービスです。 営業研修も行うので、知識がない会社様でも安心してスタートできます！ ストック収益で安定経営・営業対象先全国800万件以上・アポ率＆成約率の高い商材。,1
76,MEO,大阪,iphonex_safari,効果的なMEO対策・ローカルSEO - GMB・マップとリアルタイム連携,https://www.yext.co.jp/meo-listings/,"世界150以上の検索エンジンやマップ、SNSと連携し、企業の正しい情報発信を可能にする。 イエクストの検索クラウドサービスで店舗集客を強化。GMB連携で情報更新が簡単！ 検索で正しい情報の発信・構造化データの実装・MEO対策・口コミ一元管理・音声検索の最適化・VSO・サービス: 検索の最適化, 構造化データ実装サービス, サイト内検索。",1
77,MEO,大阪,mac_chrome,【歯科特化】新患増加のMEO対策 - 医療従事者が対応/運用が簡単,https://umy-game.com/meoup/,黒飛先生推奨のMEO対策。医療従事者が対応するから運用が簡単。医療ガイドラインに掛かりにくい。上位表示保証/口コミ対策も。最短10日で新患からの問い合わせが増加。 歯科医院特化・最短10日で新規患者増加・上位表示保証・医療関係者がサポート。,1
78,MEO,大阪,mac_firefox,【初期費用無料】MEOで集客UP - 今なら半額450円で施策可能,https://meo-college.com/lp/,"他社はやってます！「MEO対策」で検索結果で上位表示！スマホのお客様にアピールできます。 事業開始から8年！3,000社以上の上位化実績/完全成果報酬型/全国対応/早いもの勝ちです！ 上位化率90.3%以上・ローカル検索対策・3,000店舗以上の上位化実績。",1
79,MEO,大阪,mac_chrome,MEO対策はこれ一つで決まり - 上位表示の為の徹底対策ツール,https://freesquare.co.jp/map-lp/,MAP職人は【誰でもMEO対策を可能に】を実現したツールです。今なら2週間無料でお試し,1
80,MEO,大阪,mac_chrome,1日500円。格安信頼のMEO対策 - 初月無料、まずは効果を体感,http://meopro.net/,正しい知識で上位化させます。中小企業様からのご依頼多数。ぜひ一度お問い合わせ下さい。 飲食業、医療、美容室、福祉、小売店、教育、エステなど実績多数。自信があります。 表示確認用の自社ツール有・完全成果報酬制で安心・運用担当者が直接ご対応。,1
81,MEO,東京,mac_chrome,MEO対策で商圏一人勝ちの決定版 - 2ヶ月間 完全無料...,https://www.cooboo.co.jp/special/meo/,業界最安の成果報酬！700円/日割と初期0円で豊富な料金体系。選ばれ続けてサービス開始9年目。 まずはMEOの費用対効果をトライアル！ 期間限定キャンペーン開催・初期費用や保証料等なし・9年目の信頼と実績・日割成果700円と月額プラン。,1
82,MEO,東京,mac_firefox,【MEO】コスパ最強の集客法 - 費用対効果に特化したMEO対策,https://www.dia-neo.com/meo/lp/,プロによる店舗撮影・記事投稿代行など、サービスが手厚い！口コミが増える秘訣もアドバイス。 店舗の集客に圧倒的効果を発揮、今すぐ客を取り込める！始めるなら競合の少ない今がチャンス。 上位表示化率87%超・口コミ評価もアップ・来店数が最大10倍に。,1
83,MEO,東京,mac_chrome,【歯科特化】新患増加のMEO対策 - 医療従事者が対応/運用が簡単,https://umy-game.com/meoup/,黒飛先生推奨のMEO対策。医療従事者が対応するから運用が簡単。医療ガイドラインに掛かりにくい。上位表示保証/口コミ対策も。最短10日で新患からの問い合わせが増加。,1
84,MEO,東京,mac_firefox,効果的なMEO対策・ローカルSEO - GMB・マップと...,https://www.yext.co.jp/meo-listings/,世界150以上の検索エンジンやマップ、SNSと連携し、企業の正しい情報発信を可能にする。 イエクストの検索クラウドサービスで店舗集客を強化。GMB連携で情報更新が簡単！ 構造化データの実装・音声検索の最適化・VSO・口コミ一元管理・MEO対策。,1
85,MEO,東京,mac_firefox,MEO対策で商圏一人勝ちの決定版 - 2ヶ月間 完全無料...,https://www.cooboo.co.jp/special/meo/,業界最安の成果報酬！700円/日割と初期0円で豊富な料金体系。選ばれ続けてサービス開始9年目。,1
86,MEO,東京,mac_firefox,【歯科特化】新患増加のMEO対策 - 初心者でも安心。新患1.5倍...,https://umy-game.com/meoup/,黒飛先生推奨のMEO対策。医療従事者が対応するから運用が簡単。医療ガイドラインに掛かりにくい,1
87,MEO,東京,mac_firefox,1日500円。格安信頼のMEO対策 - 初月無料、まずは効果を体感,http://meopro.net/,正しい知識で上位化させます。中小企業様からのご依頼多数。ぜひ一度お問い合わせ下さい。 飲食業、医療、美容室、福祉、小売店、教育、エステなど実績多数。自信があります。 表示確認用の自社ツール有・運用担当者が直接ご対応。,1
88,MEO,東京,mac_chrome,【MEO】コスパ最強の集客法 - 費用対効果に特化した店舗集客,https://www.dia-neo.com/meo/lp/,プロによる店舗撮影・記事投稿代行など、サービスが手厚い！口コミが増える秘訣もアドバイス。,1
89,MEO,東京,mac_firefox,MEO対策の販売パートナー大募集 - 月ストック収益500万円超...,https://exkey.jp/meo/partner/,高粗利＆ストック収益で安定経営を実現！信頼性の高いサービスなので受注率が高いサービスです。 営業研修も行うので、知識がない会社様でも安心してスタートできます！ アポ率＆成約率の高い商材・高粗利商材の代理店募集・ストック収益で安定経営。,1
90,MEO,東京,mac_firefox,今なら半額450円で施策可能 - MEOで圧倒的に集客しよう,https://meo-college.com/lp/,"他社はやってます！「MEO対策」で検索結果で上位表示。お店を繁盛させるにはまず集客！ スマホのお客様にアピール！3,000社以上の上位化実績/完全成果報酬型/全国対応/早いもの勝ち！ ローカル検索対策・上位化率90.3%以上・完全成果報酬プラン・スマホ集客。",1
91,MEO,東京,iphonex_safari,MEOなら - MEOで集客強化しませんか？ - LADEN【公式】 - laden.jp,https://laden.jp/,"マップ上であなたのお店を”選ばれる”お店に。実店舗の集客はSNSで効率的に拡大。 検索結果一覧において、表示順位を上げるための施策を実施します。 SNS用の画像収集・競合の価格調査・テレアポリスト構築・企業リスト構築・検索順位の監視・見込み客リスト構築・データベース構築・スタイル: インターネット, ビックデータ, セールス。",1
92,MEO,東京,mac_chrome,効果的なMEO対策・ローカルSEO - GMB・マップと...,https://www.yext.co.jp/meo-listings/,世界150以上の検索エンジンやマップ、SNSと連携し、企業の正しい情報発信を可能にする。,1
93,MEO,東京,iphonex_safari,MEO対策で商圏一人勝ちの決定版 - 2ヶ月間 完全無料キャンペーン中 - 毎月先約20店舗の限定価格 - cooboo.co.jp,https://www.cooboo.co.jp/special/meo/,"業界最安の成果報酬！700円/日割と初期0円で豊富な料金体系。選ばれ続けてサービス開始9年目。 まずはMEOの費用対効果をトライアル！ 累積実績3,500店舗超・初期費用や保証料等なし・9年目の信頼と実績・日割成果700円と月額プラン・期間限定キャンペーン開催・サービス: MEO成果プラン, MEO月額プラン, プレミアムプラン, コンプリートプラン。",1
94,MEO,東京,mac_chrome,ExKey_圧倒的MEOの実績 - MEO対策サービスの代理店募集中,https://exkey.jp/meo/partner/,営業手法はとてもシンプル！安定したストック収益を積み上げることが可能。貴社の新サービスに。 今話題のMEOの全てを教えます。運用施設1000施設越えのノウハウを全てお教えいたします。 高粗利商材の代理店募集・アポ率＆成約率の高い商材。,1
95,MEO,東京,iphonex_safari,"3,000店舗以上の【MEO】実績 - 今なら半額450円で施策可能",https://meo-college.com/lp/,"検索順位UP&集客力UPで周りのお店に差をつけよう。MEO対策で実績多数。上位化するまで費用0円。費用を抑えて集客するならMEO対策。リスティング広告やSEOよりも安くて効果的です。 3,000店舗以上の上位化実績・SEOより低コスト・スマホ集客・ローカル検索対策・完全成果報酬プラン・上位化率90.3%以上・サービス: 450円/日, 初期費用0円, 登録・運用代行。",1
96,MEO,東京,mac_chrome,MEO対策《上位表示率93%》 - 上位表示されるまで0円にて対策,https://gluma.pro/lp/,"MEO対策で地元密着サービス。 お得なキャンペーン実施中。 完全成果報酬プランもあり。 MEO対策実績数が3,500店舗以上のGluma。店舗集客サービスを検討されているオーナー様必見です。 MEOサービス・GoogleMAP対策・店舗ビジネス・MEO対策。",1
97,MEO,東京,iphonex_safari,上位表示化率87％超 - 【MEO】コスパ最強の集客法,https://www.dia-neo.com/meo/lp/,"プロによる店舗撮影・記事投稿代行など、サービスが手厚い！口コミが増える秘訣もアドバイス。 店舗の集客に圧倒的効果を発揮、今すぐ客を取り込める！始めるなら競合の少ない今がチャンス。 追加料金一切なし・キーワード診断無料・取り扱い案件数800社以上・来店数が最大10倍に・口コミ評価もアップ・プロの店舗写真撮影付き・12キーワード対策可能・即日対応・上位表示化率87%超・サービス: Googleマップ上位表示, MEO対策, 成果報酬, 上位3位以内, 写真撮影, 記事投稿。",1
98,MEO,東京,mac_chrome,【MAP職人】今なら2週間無料 - 店舗集客の為のMEO対策ツール,https://freesquare.co.jp/map-lp/,"MAP職人は【誰でもMEO対策を可能に】を実現したツールです。今なら2週間無料でお試し。施策実績3,000件以上、上位表示率90.3％のノウハウを公開、MEO対策をインハウス化できる。3,000店以上の対策実績・2週間の無料トライアル。",1
99,RPA,北海道,iphonex_safari,IBM 自動化ソフトウェア - 反復作業を自動化 - ガイドを読む,https://www.ibm.com/jp-ja/automation/rpa,"IBM RPAを使用して、価値実現までの時間を短縮。ヒューマンエラーを減らし、スループットを向上。従業員がより価値の高い作業を行うことができるようにし、自動化プラットフォームの価値を拡大。e-bookを読む・お客様事例・ガイドを読む・コンサルティング・サービス: 自動化の推進, 自動化の構築, 自動化の管理, 自動化への変革。",1
100,RPA,北海道,iphonex_safari,RPA - フリーランス専門エージェント,https://www.bigdata-navi.com/lp/rpa/,"RPAエンジニア・コンサルタントなどの求人案件をお探しなら、ビッグデータナビへ！ 最短即日からご紹介可・高単価・エンド元請案件・業界最大級の案件提案・まずは無料相談・継続率90%の安定稼働・フリーランス・個人事業主・オンライン面談にも対応・起業・独立をサポート・先端案件AI/RPA求人・無料講座でスキルアップ・サービス: お仕事紹介, カウンセリング, 無料勉強会, 起業・独立, 副業サポート, オンライン面談。",1
101,RPA,北海道,iphonex_safari,Process Mining & RPA - Download the Data Sheet,https://www.celonis.com/what-is-rpa,"Celonis can help you take a strategic approach to process improvement that includes RPA. Discover how RPA fits into a larger process excellence and Process Mining strategy. Reduce Complexity・Reduce Process Costs・Easy Process Analysis・#1 Process Mining Tool・Boost Efficiency・Unilimited Customization・No Performance Loss・100% Transparency・Market Leader・Great User Experience・Services: Customer Service, Finance, IT, Order Management, Procurement, Production, Opportunity Management, Supply Chain。",1
102,RPA,北海道,mac_chrome,初期費用0円、継続率96%のRPA - DX推進のため...,https://fce-pat.co.jp/lp/robo-pat/,【無料ダウンロード】RPAで自動化する業務の見極め方は？その疑問に答える資料つくりました。現場向けに設計されたRPA・普段のPC操作感で使える・中小企業に選ばれるRPA・1ヶ月単位で契約できる・サポート費用はずっと0円・継続率は96%。,1
103,RPA,北海道,mac_chrome,RPAツールなら《WinAutomation》 - 月額4000円で業務改革を...,http://www.rhodium-rpa.com/,《解約ゼロの実績》月々たったの4000円で導入から運用までしっかりサポート！無料トライアル可能,1
104,RPA,大阪,mac_chrome,初期費用0円、継続率96%のRPA - プログラム知識不要の...,https://fce-pat.co.jp/lp/robo-pat/,【無料ダウンロード】RPAで自動化する業務の見極め方は？その疑問に答える資料つくりました。中小企業に選ばれるRPA・サポート費用はずっと0円・現場向けに設計されたRPA・継続率は96% 1ヶ月単位で契約できる・メールは翌営業日に返信。,1
105,RPA,大阪,mac_chrome,国内初クラウドRPA - 国内初クラウドRPA,https://service.biztex.co.jp/,国内初クラウドRPAだから圧倒的なサービス改善速度。導入実績多数。無料相談会毎週水曜日開催。,1
106,RPA,北海道,mac_chrome,そもそもRPA導入できるかな - リアル事例集50選プレゼント,https://assirobo.com/download/?utm_source=google&utm_medium=cpc&utm_campaign=brand,誰でも簡単に始められて、操作性・使い勝手を考慮し設計された日本製RPAが月額5万円！,1
107,RPA,大阪,mac_chrome,AIとRPAで働き方の未来を - AIとRPAのスペシャル対談企画,https://uipath-today.eventos.tokyo/web/portal/278/event/1507/module/booth/49668/30920,書籍発刊記念スペシャル対談企画。現場が輝くデジタルトランスフォーメーションとは,1
108,RPA,北海道,mac_chrome,Process Mining & RPA - Download the Data Sheet,https://www.celonis.com/what-is-rpa,Celonis can help you take a strategic approach to process improvement that includes RPA. Discover how RPA fits into a larger process excellence and Process Mining strategy. Reduce Process Costs・#1 Process Mining Tool・100's of Happy Customers・Boost Efficiency。,1
109,RPA,大阪,mac_chrome,Process Mining & RPA - Download the Data Sheet,https://www.celonis.com/what-is-rpa,Celonis can help you take a strategic approach to process improvement that includes RPA. Discover how RPA fits into a larger process excellence and Process Mining strategy. Great User Experience・Boost Efficiency・#1 Process Mining Tool・No Performance Loss。,1
110,RPA,大阪,mac_chrome,RPAツール年間ランキング - 2020年で最も選ばれた製品は？,https://it-trend.jp/award/2020/rpa_tool,RPAツールの年間ランキング2020。今、人気の製品にまとめて資料請求！【無料】 利用者数1000万人突破のIT製品比較サイト。気になる製品をリストに追加して資料請求。 IT製品の比較サイト・おかげさまで10周年・今すぐ無料資料請求・ランキングで比較。,1
111,RPA,大阪,iphonex_safari,Process Mining & RPA - Download the Data Sheet,https://www.celonis.com/what-is-rpa,"Celonis can help you take a strategic approach to process improvement that includes RPA. Discover how RPA fits into a larger process excellence and Process Mining strategy. Boost Efficiency・Reduce Complexity・Easy Process Analysis・Reduce Process Costs・Unilimited Customization・No Performance Loss・Great User Experience・Market Leader・Quick Implementation・100% Transparency・Services: Customer Service, Finance, IT, Order Management, Procurement, Production, Opportunity Management, Supply Chain。",1
112,RPA,北海道,mac_firefox,Process Mining & RPA - Download the Data Sheet,https://www.celonis.com/what-is-rpa,Celonis can help you take a strategic approach to process improvement that includes RPA.,1
113,RPA,北海道,mac_firefox,AIとRPAで働き方の未来を - AIとRPAのスペシャル対談企画,https://uipath-today.eventos.tokyo/web/portal/278/event/1507/module/booth/49668/30920,書籍発刊記念スペシャル対談企画。現場が輝くデジタルトランスフォーメーションとは。AIとRPAで働き方の未来を。 現場が輝くデジタルトランスフォーメーションとは。AI連携ならUiPath・業務改善・業務自動化・無償版ですぐに試せる・無料オンラインイベント。,1
114,RPA,北海道,mac_firefox,初期費用0円、継続率96%のRPA - プログラム知識不要の...,https://fce-pat.co.jp/lp/rpa_new2/,【無料ダウンロード】RPAで自動化する業務の見極め方は？その疑問に答える資料つくりました,1
115,RPA,大阪,mac_firefox,Process Mining & RPA - Download the Data Sheet,https://www.celonis.com/what-is-rpa,Celonis can help you take a strategic approach to process improvement that includes RPA. Discover how RPA fits into a larger process excellence and Process Mining strategy. Unilimited Customization・100's of Happy Customers・#1 Process Mining Tool。,1
116,RPA,東京,mac_chrome,初期費用0円、継続率96%のRPA - プログラム知識不要の...,https://fce-pat.co.jp/lp/rpa_new2/,【無料ダウンロード】RPAで自動化する業務の見極め方は？その疑問に答える資料つくりました。継続率は96% メールは翌営業日に返信・現場向けに設計されたRPA・普段のPC操作感で使える・サポート費用はずっと0円・1ヶ月単位で契約できる。,1
117,RPA,東京,mac_chrome,Process Mining & RPA - Download the Data Sheet,https://www.celonis.com/what-is-rpa,Celonis can help you take a strategic approach to process improvement that includes RPA. Discover how RPA fits into a larger process excellence and Process Mining strategy. 100's of Happy Customers・Great User Experience・Reduce Complexity・Unilimited Customization。,1
118,RPA,東京,iphonex_safari,そもそもRPA導入できるかな - リアル事例集50選プレゼント,https://assirobo.com/download/?utm_source=google&utm_medium=cpc&utm_campaign=broad_rpa,誰でも簡単に始められて、操作性・使い勝手を考慮し設計された日本製RPAが月額5万円！ 【RPA検討中の企業様向け】RPAで失敗しないためのリアル事例50選無料配布中。 簡単創作・無償 操作説明会・完全監視下・部署内決済可・無償 導入サポート。,1
119,RPA,東京,iphonex_safari,RPA - フリーランス専門エージェント,https://www.bigdata-navi.com/lp/rpa/,"RPAエンジニア・コンサルタントなどの求人案件をお探しなら、ビッグデータナビへ！ 最短即日からご紹介可・まずは無料相談・高単価・エンド元請案件・業界最大級の案件提案・オンライン面談にも対応・先端案件AI/RPA求人・無料講座でスキルアップ・フリーランス・個人事業主・継続率90%の安定稼働・起業・独立をサポート・サービス: お仕事紹介, カウンセリング, 無料勉強会, 起業・独立, 副業サポート, オンライン面談。",1
120,RPA,東京,iphonex_safari,IBM 自動化ソフトウェア - 反復作業を自動化,https://www.ibm.com/jp-ja/automation/rpa,"IBM RPAを使用して、価値実現までの時間を短縮。ヒューマンエラーを減らし、スループットを向上。従業員がより価値の高い作業を行うことができるようにし、自動化プラットフォームの価値を拡大。e-bookを読む・お客様事例・ガイドを読む・コンサルティング・サービス: 自動化の推進, 自動化の構築, 自動化の管理, 自動化への変革。",1
121,RPA,東京,iphonex_safari,Process Mining & RPA - Download the Data Sheet,https://www.celonis.com/what-is-rpa,"Celonis can help you take a strategic approach to process improvement that includes RPA. Discover how RPA fits into a larger process excellence and Process Mining strategy. Boost Efficiency・Reduce Process Costs・Easy Process Analysis・100's of Happy Customers・No Performance Loss・#1 Process Mining Tool・Quick Implementation・Great User Experience・Unilimited Customization・Market Leader・Services: Customer Service, Finance, IT, Order Management, Procurement, Production, Opportunity Management。",1
